id,screen_name,followers_count,created_at,protected,verified,statuses_count,friends_count
98714923,MzVenomous,2,2009-12-22 20:38:48+00:00,False,False,81,22
74157087,amaraux,0,2009-09-14 13:34:40+00:00,False,False,1,0
67495384,loverenanthuco,13,2009-08-21 02:15:46+00:00,False,False,219,21
64221267,Gugel1983,9,2009-08-09 18:15:26+00:00,False,False,42,4
35801430,Jamie_Hanbury,3,2009-04-27 17:30:19+00:00,False,False,0,0
73266092,henny_xo,0,2009-09-11 00:44:04+00:00,False,False,0,0
40280697,amiraebrown,4,2009-05-15 16:54:51+00:00,False,False,0,0
19896921,jituhds,0,2009-02-02 07:09:33+00:00,False,False,0,0
71637961,Trianis,201,2009-09-04 21:03:11+00:00,False,False,0,22
96464164,a_kiswandari,3,2009-12-13 02:08:51+00:00,False,False,0,0
50607090,ok_MICROKID,149,2009-06-25 10:13:10+00:00,False,False,1352,0
29777129,Msprisie,4,2009-04-08 18:05:53+00:00,False,False,4,0
76784410,solvirunar,638,2009-09-23 22:58:52+00:00,False,False,870,399
95290517,luiless,0,2009-12-07 22:13:47+00:00,False,False,1,0
75363602,balderash,351,2009-09-18 19:32:22+00:00,False,False,1596,326
64494495,sara_200,7,2009-08-10 19:47:05+00:00,False,False,1,0
96116250,rayka_18,3,2009-12-11 12:25:19+00:00,False,False,0,18
43925737,LiamL112,2,2009-06-01 17:23:40+00:00,False,False,14,11
60776712,ARI_CSANTOS,5,2009-07-28 01:49:40+00:00,False,False,6,28
21620159,robaaa1,2,2009-02-23 01:32:25+00:00,False,False,1,0
38306753,Iza_barroso,206,2009-05-06 23:28:29+00:00,False,False,49347,180
74531931,Mgulley67,1,2009-09-15 19:31:04+00:00,False,False,3,10
22625268,giagui,1,2009-03-03 13:56:56+00:00,False,False,0,0
86136770,ballpl,7,2009-10-29 18:58:21+00:00,False,False,1,1
48133280,naat_grierson,11,2009-06-17 21:57:46+00:00,False,False,0,0
21788783,mhoowarn,3,2009-02-24 19:48:14+00:00,False,False,143,5
98106806,plamena_vg,1,2009-12-20 11:24:16+00:00,False,False,0,14
68756689,wesleiantunes,1,2009-08-25 17:47:39+00:00,False,False,0,0
61420196,dpohlson,1,2009-07-30 07:13:41+00:00,False,False,0,0
99346255,alinadc,13,2009-12-25 19:25:22+00:00,False,False,8,5
96752725,kristhinejoy,0,2009-12-14 12:34:11+00:00,False,False,0,20
98494933,evelyn_gondim,157,2009-12-21 23:19:58+00:00,False,False,1509,363
36115512,quixcel,0,2009-04-28 16:52:17+00:00,False,False,0,0
50733672,kitchivers,11,2009-06-25 18:59:42+00:00,False,False,23,8
40338495,crinsure,2,2009-05-15 21:30:17+00:00,False,False,0,2
80248558,LewinTest,0,2009-10-06 08:07:12+00:00,False,False,35,0
94205059,spiralacious,1,2009-12-02 23:37:47+00:00,False,False,0,1
82487574,marines1833,0,2009-10-14 23:42:23+00:00,False,False,6,1
61199267,kick_assbitch,3,2009-07-29 13:53:53+00:00,False,False,1,20
99752836,Angelica_Boyd,110,2009-12-27 18:04:29+00:00,False,False,1041,251
44786373,jaimes920,6,2009-06-05 01:26:35+00:00,False,False,8,0
73113320,dogatlighthouse,0,2009-09-10 13:14:46+00:00,False,False,0,1
48534145,capecodjoeyguyc,4,2009-06-18 23:35:21+00:00,False,False,7,0
70760480,gelsondelima,0,2009-09-01 19:18:00+00:00,False,False,1,0
60946874,camohoe,1,2009-07-28 16:21:30+00:00,False,False,2,1
93998729,THEKANG34,0,2009-12-02 02:11:36+00:00,False,False,0,9
32642834,julieannia,2,2009-04-17 22:58:08+00:00,False,False,2,2
24309547,ktkitty83,55,2009-03-14 02:19:02+00:00,False,False,128,348
85511261,lishouyin,1,2009-10-27 06:22:59+00:00,False,False,3,23
89728184,alblmb,9,2009-11-13 15:55:30+00:00,False,False,21,0
73152772,luciana_depaula,6,2009-09-10 16:19:59+00:00,False,False,9,0
55490607,TahirAbbas01,7,2009-07-10 06:26:36+00:00,False,False,9,13
81827670,GaSalga,1,2009-10-12 12:14:48+00:00,False,False,0,0
83638234,mayraizabela,21,2009-10-19 16:44:48+00:00,False,False,11,123
91897003,ricco333,2,2009-11-23 00:03:41+00:00,False,False,0,28
68587877,madi_14,2,2009-08-25 02:48:09+00:00,False,False,0,1
66138002,ajitha_r,10,2009-08-16 16:03:18+00:00,False,False,0,0
57772626,JasonKeech,261,2009-07-17 22:10:41+00:00,False,False,2339,0
70556280,killa718,0,2009-09-01 01:08:51+00:00,False,False,0,1
40961663,wanderlei_veiga,711,2009-05-18 20:36:21+00:00,False,False,84,1621
77642830,D4ll4z93,0,2009-09-27 02:55:03+00:00,False,False,0,0
70140910,mamyugiez,1,2009-08-30 15:24:35+00:00,False,False,1,5
98789276,hurupuk,10,2009-12-23 03:57:23+00:00,False,False,571,20
55148849,losuen,0,2009-07-09 05:04:37+00:00,False,False,0,0
89053849,Mysteri36449742,0,2009-11-10 23:37:28+00:00,False,False,0,0
77912610,tommyhilfiger73,4,2009-09-28 03:24:35+00:00,False,False,0,0
24657088,MrsHowi,4,2009-03-16 05:49:49+00:00,False,False,2,4
61798596,lunsyama,0,2009-07-31 15:42:08+00:00,False,False,0,0
94893968,pezzacombr,0,2009-12-05 23:52:25+00:00,False,False,0,0
30405780,devildriver727,3,2009-04-11 05:26:19+00:00,False,False,1,19
63808081,danahymel,22,2009-08-07 19:36:11+00:00,False,False,11,74
60015393,JackeyBoiii,0,2009-07-25 08:27:10+00:00,False,False,0,0
74705567,Jaantjuh1,3,2009-09-16 11:09:25+00:00,False,False,6,31
32067411,pekj,3,2009-04-16 18:31:20+00:00,False,False,13,20
92590270,cebracamparo,32,2009-11-25 19:13:13+00:00,False,False,4,3
93492623,ginkchun,0,2009-11-29 22:27:01+00:00,False,False,0,1
93660728,akshay_12489,20,2009-11-30 16:17:25+00:00,False,False,445,257
54357393,Rafasnick,65,2009-07-06 22:34:14+00:00,False,False,105,158
95876237,fhameed,0,2009-12-10 10:51:34+00:00,False,False,0,0
56245325,lola_vane,58,2009-07-13 01:14:14+00:00,False,False,145,183
41033575,agus_bd,134,2009-05-19 02:23:21+00:00,False,False,1875,398
54657786,candiroberts,4,2009-07-07 20:03:37+00:00,False,False,0,3
50740734,dfulton88,5,2009-06-25 19:25:12+00:00,False,False,0,6
75096807,Rebeccayholland,262,2009-09-17 19:44:41+00:00,False,False,1224,748
41252797,meetingnazi_app,4,2009-05-20 00:32:58+00:00,False,False,1,0
20098179,beckyjocully,3,2009-02-04 21:49:04+00:00,False,False,6,0
33624481,jamierbrownus,2,2009-04-20 19:11:57+00:00,False,False,2,10
75948884,Mani619,16,2009-09-21 03:32:27+00:00,False,False,0,0
81096805,s4tri4_kaka,32,2009-10-09 12:28:54+00:00,False,False,14,118
84119475,Mysteri30745066,0,2009-10-21 17:25:47+00:00,False,False,0,0
37047884,pcgolf,4,2009-05-01 21:30:37+00:00,False,False,0,6
28898057,indycast,1230,2009-04-04 23:54:16+00:00,False,False,1186,645
52801066,Jasonx20,2,2009-07-01 18:07:39+00:00,False,False,9,10
41346904,shortfort123,7,2009-05-20 12:20:58+00:00,False,False,16,28
14637978,vellardo,162,2008-05-03 14:01:07+00:00,False,False,7315,257
55252140,edineves,27,2009-07-09 14:36:05+00:00,False,False,499,135
20004120,dldlmyers,4,2009-02-03 21:08:05+00:00,False,False,0,1
33628184,techdirex,0,2009-04-20 19:23:04+00:00,False,False,0,1
48384890,ian_m_staunton,5,2009-06-18 15:33:23+00:00,False,False,9,59
78641295,dkd316,0,2009-09-30 16:16:23+00:00,False,False,0,0
94638818,AnGeL3462,1,2009-12-04 20:46:42+00:00,False,False,10,0
24051744,diddlydo,1,2009-03-12 22:13:01+00:00,False,False,42,102
58644099,lorehndz,126,2009-07-21 00:30:02+00:00,False,False,506,535
74830017,Mimi5234,1,2009-09-16 20:32:37+00:00,False,False,0,4
25645838,candycanex12,9,2009-03-21 05:43:30+00:00,False,False,0,58
51801378,Luana1910,269,2009-06-28 18:33:06+00:00,False,False,3542,852
15454961,IsleofIris,147,2008-07-16 14:42:18+00:00,False,False,40,105
58063808,Miguel2271962,2,2009-07-18 23:40:44+00:00,False,False,1,22
64167547,RonaldGillis,0,2009-08-09 12:50:37+00:00,False,False,2,0
97114779,tgroveee,0,2009-12-16 02:22:58+00:00,False,False,0,1
90711348,Ce_17,0,2009-11-17 20:26:41+00:00,False,False,0,0
33308918,Nieboob77,3,2009-04-19 20:49:20+00:00,False,False,0,0
51827150,I_dot_vs_mike,102,2009-06-28 20:04:48+00:00,False,False,1936,140
18272782,Hyperionpools,18,2008-12-20 21:12:32+00:00,False,False,1,7
99440761,GenevaDejesuswr,0,2009-12-26 06:07:53+00:00,False,False,0,0
38461129,neowolvesuk,10,2009-05-07 16:19:16+00:00,False,False,14,13
26131848,Michael_Easter,3758,2009-03-24 00:25:09+00:00,False,False,3552,367
35091640,lechienvert,9,2009-04-25 00:33:11+00:00,False,False,4,0
58579357,brunaefi,1,2009-07-20 20:22:38+00:00,False,False,0,1
66293901,WorldJobBank,52,2009-08-17 06:19:25+00:00,False,False,0,0
40158708,J_Swagger,14,2009-05-15 02:50:29+00:00,False,False,47,93
37471410,Faabielle,45,2009-05-03 18:37:19+00:00,False,False,250,62
38778004,julie_gilbert14,1,2009-05-09 02:26:33+00:00,False,False,3,21
62070406,denisevmarques,13,2009-08-01 16:51:52+00:00,False,False,15,0
64444052,porterphysics,21,2009-08-10 16:29:38+00:00,False,False,255,10
47458398,VoetbalWK2010,57,2009-06-15 22:04:22+00:00,False,False,4,31
92944589,Irmgardwheio,0,2009-11-27 10:36:14+00:00,False,False,0,0
39370765,CraigCrowther,62,2009-05-11 23:16:59+00:00,False,False,41,59
40966361,jefjoz,12,2009-05-18 20:57:52+00:00,False,False,820,28
44438903,Bfanger12,1,2009-06-03 19:48:13+00:00,False,False,1,18
33355258,rlisi269,873,2009-04-20 00:36:06+00:00,False,False,3460,1066
88347494,Walterchto,44,2009-11-08 04:13:05+00:00,False,False,2,163
75118985,Helinton74,7,2009-09-17 21:23:20+00:00,False,False,7,17
83551870,Kelemen508,0,2009-10-19 08:17:11+00:00,False,False,0,0
66928994,DBJN72,4,2009-08-19 06:20:39+00:00,False,False,11,22
74590024,Pete_Rehder,155,2009-09-15 23:28:47+00:00,False,False,264,341
19935471,matthoffUTP,96,2009-02-02 21:47:15+00:00,False,False,1401,448
95228563,stevengbrand,1,2009-12-07 16:10:44+00:00,False,False,1,26
13606092,blandairmgard,0,2008-02-18 02:50:20+00:00,False,False,1,0
44232547,jaredtran,1,2009-06-02 23:03:05+00:00,False,False,0,0
37244939,woodcymru,1,2009-05-02 17:50:35+00:00,False,False,1,18
57446009,LetsBeHavingYou,35,2009-07-16 21:03:49+00:00,False,False,104,294
76715061,bellomontendome,0,2009-09-23 18:23:06+00:00,False,False,0,0
21788419,bwatapat,0,2009-02-24 19:45:00+00:00,False,False,0,1
63852856,2lovemore,1,2009-08-07 23:26:36+00:00,False,False,2,0
83506814,yeltsin2409,28,2009-10-19 02:48:51+00:00,False,False,217,54
51392303,oscargustafsson,45,2009-06-27 09:07:16+00:00,False,False,9,109
22651502,blackgestapo,4,2009-03-03 17:51:30+00:00,False,False,9,20
18000161,rbArt,4,2008-12-09 19:48:03+00:00,False,False,58,0
38250264,dwellsyomind,10,2009-05-06 19:03:29+00:00,False,False,1,4
85784373,micheleurral,0,2009-10-28 10:04:32+00:00,False,False,0,18
96321452,senizakbulut,5,2009-12-12 10:54:43+00:00,False,False,0,29
75022726,alopezmontaner,2,2009-09-17 14:20:04+00:00,False,False,0,2
23715873,stephenrothwell,0,2009-03-11 03:31:18+00:00,False,False,0,4
83892314,spiceandslice,121,2009-10-20 17:56:14+00:00,False,False,624,195
77974740,rkdmfskfo1,4,2009-09-28 09:54:19+00:00,False,False,0,19
66062236,asus21,1,2009-08-16 05:40:20+00:00,False,False,0,19
32678471,ReneeDarrell,18,2009-04-18 00:14:22+00:00,False,False,46,48
37921003,cs_designers,295,2009-05-05 13:19:01+00:00,False,False,1289,473
74077753,ivyreycan,9,2009-09-14 05:02:52+00:00,False,False,0,12
82824996,WebFire2010,0,2009-10-16 07:37:42+00:00,False,False,0,0
51876113,cattalin,7,2009-06-28 23:07:37+00:00,False,False,8,17
35200566,chandra651,1,2009-04-25 12:26:02+00:00,False,False,0,0
23302691,GemmaFreeman123,1,2009-03-08 12:13:51+00:00,False,False,4,11
53857814,ekluften,9,2009-07-05 06:58:42+00:00,False,False,26,20
50824779,nino__stackson,70,2009-06-25 23:56:22+00:00,False,False,279,834
43555210,Hairdishes,9,2009-05-30 16:51:23+00:00,False,False,66,47
63007640,TomD52,0,2009-08-05 02:36:09+00:00,False,False,1,3
55561963,Friskey62,631,2009-07-10 13:34:53+00:00,False,False,821,2367
35841720,dax_santi,169,2009-04-27 19:58:02+00:00,False,False,1966,395
91723079,Dionhilton,0,2009-11-22 04:31:01+00:00,False,False,253,5
88181391,azt_dha,2,2009-11-07 13:02:27+00:00,False,False,0,4
62734720,seeyal8rx3,1,2009-08-04 06:05:36+00:00,False,False,4,0
61581793,tamanahe,6,2009-07-30 19:54:50+00:00,False,False,0,0
46041229,bonitaj1,10,2009-06-10 04:56:37+00:00,False,False,6,0
67048989,AmandaLynnBetts,740,2009-08-19 16:44:57+00:00,False,False,1495,579
60979098,Xxjenniii_xX,5,2009-07-28 18:20:59+00:00,False,False,55,0
55231827,jakesnake61,1,2009-07-09 13:17:53+00:00,False,False,27,0
44374364,SHEPSEARCH,2,2009-06-03 14:55:08+00:00,False,False,0,1
15952059,NSblogging,5,2008-08-23 00:16:59+00:00,False,False,153,0
92288749,dominicmotta,1,2009-11-24 14:50:04+00:00,False,False,2,1
62023336,jakubjaworski,19,2009-08-01 12:24:49+00:00,False,False,5,89
86230836,mandi6690,0,2009-10-30 03:23:40+00:00,False,False,1,19
52097964,stagladite,0,2009-06-29 16:03:31+00:00,False,False,1,1
46560038,freephototips,401,2009-06-12 02:39:03+00:00,False,False,12427,667
79898811,neuroinmuno,2,2009-10-05 02:44:38+00:00,False,False,19,1
38761930,ofertas20,2,2009-05-09 01:02:57+00:00,False,False,0,0
85346142,memeriri,1,2009-10-26 15:54:47+00:00,False,False,7,21
31603013,lavendar6616,6,2009-04-16 02:11:04+00:00,False,False,3,5
84185624,martin452,16,2009-10-21 23:05:44+00:00,False,False,5,1198
91271599,CADHARMENDRAJN,1,2009-11-20 04:45:28+00:00,False,False,0,1
36680140,ROL4U,5,2009-04-30 14:52:54+00:00,False,False,1,0
24430869,jessnz,7,2009-03-14 21:13:38+00:00,False,False,0,14
64411269,HumidorDiscount,594,2009-08-10 14:08:27+00:00,False,False,96,567
52432292,jennanov,2,2009-06-30 15:57:34+00:00,False,False,2,0
20033512,shivudu,9,2009-02-04 07:30:04+00:00,False,False,0,63
32061654,duckclowngqdsd5,1,2009-04-16 18:25:27+00:00,False,False,0,1
83154609,9i7887to7,0,2009-10-17 15:27:12+00:00,False,False,0,0
87822745,eriizzle,0,2009-11-06 00:11:46+00:00,False,False,1,2
36929904,BigDaveHaze,220,2009-05-01 12:10:25+00:00,False,False,1090,794
52390229,Raven032,4,2009-06-30 13:13:00+00:00,False,False,29,13
83076291,LoveMyself009,148,2009-10-17 06:51:35+00:00,False,False,49349,1482
73320540,allenjamie28,0,2009-09-11 05:51:54+00:00,False,False,0,1
39985299,xinxiangle,0,2009-05-14 12:45:34+00:00,False,False,0,0
15118623,hforo,1,2008-06-14 18:14:21+00:00,False,False,4,6
19809641,amway_germany,449,2009-01-31 08:44:06+00:00,False,False,1,0
47318315,22AHA,1,2009-06-15 12:01:34+00:00,False,False,1,2
68293870,vitor_kct,4,2009-08-24 01:46:56+00:00,False,False,23,0
91139698,sagrmi,0,2009-11-19 16:41:19+00:00,False,False,0,1
27705806,svassall,13,2009-03-30 19:07:49+00:00,False,False,19,28
72189369,SefiraCounter,2,2009-09-07 03:01:40+00:00,False,False,0,0
40987784,StonyBrooke,8,2009-05-18 22:35:44+00:00,False,False,0,3
32042673,ddggmmbbkk,71336,2009-04-16 18:05:48+00:00,False,False,639,20
45328141,bizzybbb,0,2009-06-07 12:06:28+00:00,False,False,0,0
26286331,jimboberooni,1,2009-03-24 18:04:07+00:00,False,False,14,1
79118868,yourcatluvsyouu,55,2009-10-02 07:04:29+00:00,False,False,1902,205
78313071,sunilgafar,0,2009-09-29 13:48:01+00:00,False,False,1,1
33766506,_CuaCK_,1484,2009-04-21 02:00:50+00:00,False,False,67673,2047
43701392,BlackAcCa420,9,2009-05-31 15:19:44+00:00,False,False,15,27
30876030,Amberhuggins,1,2009-04-13 14:39:03+00:00,False,False,1,0
76627608,ddeen44,38,2009-09-23 12:13:00+00:00,False,False,7,202
85903174,TorstenLarsson,78,2009-10-28 20:20:21+00:00,False,False,3217,78
82227687,911CREDITGROUP,0,2009-10-14 00:00:02+00:00,False,False,1,0
81988137,Pamella_HB11,37,2009-10-13 02:14:25+00:00,False,False,230,39
9773172,Mets1986,2,2007-10-29 12:10:11+00:00,False,False,2,0
95424427,bikki_artistone,269,2009-12-08 13:53:32+00:00,False,False,241,298
99077906,leepenrose1,1,2009-12-24 10:21:25+00:00,False,False,2,1
77967276,triajja,5,2009-09-28 09:05:03+00:00,False,False,25,0
15368913,Russell5862,210,2008-07-09 18:54:37+00:00,False,False,182,0
92725288,mynxzero,0,2009-11-26 10:05:55+00:00,False,False,0,1
57527827,LMColin,0,2009-07-17 02:41:11+00:00,False,False,0,1
19694510,deaton51,0,2009-01-29 03:46:39+00:00,False,False,1,0
68888341,sixflagshurr15,0,2009-08-26 03:16:38+00:00,False,False,106,0
70326470,dressymartini,3,2009-08-31 06:18:05+00:00,False,False,25,0
90155228,Deveshrajkumar,219,2009-11-15 12:51:20+00:00,False,False,644,369
46935590,ginzchan,4,2009-06-13 18:23:57+00:00,False,False,1,20
14829411,mikehoyle,1,2008-05-19 06:31:15+00:00,False,False,1,0
28820521,StevenGilbert20,4,2009-04-04 16:20:15+00:00,False,False,16,31
36543379,lizcut3,1,2009-04-30 00:57:35+00:00,False,False,1,1
42181206,versindc,6,2009-05-24 07:34:34+00:00,False,False,12,32
99783609,deea_love_2001,3,2009-12-27 21:09:48+00:00,False,False,1,1
74806738,drew3131,2,2009-09-16 18:56:31+00:00,False,False,1,21
32586698,finest_cubana,3,2009-04-17 21:10:52+00:00,False,False,9,14
57534387,btcountess,115,2009-07-17 03:08:32+00:00,False,False,14367,385
67659643,eddychi,1,2009-08-21 17:10:51+00:00,False,False,1,0
34628299,emekel,1720,2009-04-23 14:39:52+00:00,False,False,292,2507
81046938,iwhitewaters,3,2009-10-09 06:47:28+00:00,False,False,3,0
83779395,hazeden,55,2009-10-20 05:56:48+00:00,False,False,2434,0
70657782,Fatoquinha,0,2009-09-01 11:33:16+00:00,False,False,1,0
14793588,vi_vi,11,2008-05-16 02:03:03+00:00,False,False,1,0
59459889,xxclaireybellxx,0,2009-07-23 13:24:37+00:00,False,False,15,0
89512262,mcmuelmoc,0,2009-11-12 18:54:09+00:00,False,False,1,21
29274534,jimclick1,1,2009-04-06 19:38:41+00:00,False,False,2,1
